2026-03-22 03:05:04,714 - grpo_trainer - INFO - Step 35/200 | reward=3.500 | correct=0.633 | hack_strict=0.367 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.71e-05 | kl=0.0000 | time=39.2s (gen=16.6s, reward=11.4s)
2026-03-22 03:05:53,271 - grpo_trainer - INFO - Step 36/200 | reward=3.348 | correct=0.227 | hack_strict=0.723 | hack_loose=1.000 | compile=1.000 | loss=2.0801 | lr=6.68e-05 | kl=0.0000 | time=48.6s (gen=21.4s, reward=16.0s)
2026-03-22 03:06:38,422 - grpo_trainer - INFO - Step 37/200 | reward=3.320 | correct=0.547 | hack_strict=0.395 | hack_loose=0.992 | compile=0.992 | loss=1.0356 | lr=6.66e-05 | kl=0.0000 | time=45.1s (gen=19.8s, reward=14.3s)
2026-03-22 03:07:15,273 - grpo_trainer - INFO - Step 38/200 | reward=3.359 | correct=0.363 | hack_strict=0.590 | hack_loose=1.000 | compile=1.000 | loss=1.7690 | lr=6.63e-05 | kl=0.0000 | time=36.8s (gen=15.3s, reward=11.3s)
2026-03-22 03:07:53,788 - grpo_trainer - INFO - Step 39/200 | reward=3.500 | correct=0.285 | hack_strict=0.715 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.61e-05 | kl=0.0000 | time=38.5s (gen=16.6s, reward=11.4s)
2026-03-22 03:08:44,282 - grpo_trainer - INFO - Step 40/200 | reward=3.488 | correct=0.223 | hack_strict=0.773 | hack_loose=1.000 | compile=1.000 | loss=0.1107 | lr=6.58e-05 | kl=0.0000 | time=37.8s (gen=14.1s, reward=12.7s)
2026-03-22 03:09:28,303 - grpo_trainer - INFO - Step 41/200 | reward=3.500 | correct=0.477 | hack_strict=0.523 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.55e-05 | kl=0.0000 | time=44.0s (gen=15.1s, reward=18.1s)
2026-03-22 03:10:07,420 - grpo_trainer - INFO - Step 42/200 | reward=3.500 | correct=0.559 | hack_strict=0.441 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.52e-05 | kl=0.0000 | time=39.1s (gen=16.4s, reward=11.9s)
2026-03-22 03:10:45,350 - grpo_trainer - INFO - Step 43/200 | reward=3.500 | correct=0.379 | hack_strict=0.621 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.49e-05 | kl=0.0000 | time=37.9s (gen=16.9s, reward=9.7s)
2026-03-22 03:11:24,980 - grpo_trainer - INFO - Step 44/200 | reward=3.383 | correct=0.457 | hack_strict=0.504 | hack_loose=1.000 | compile=1.000 | loss=0.1796 | lr=6.46e-05 | kl=0.0000 | time=39.6s (gen=14.1s, reward=14.5s)
2026-03-22 03:12:02,927 - grpo_trainer - INFO - Step 45/200 | reward=3.488 | correct=0.602 | hack_strict=0.395 | hack_loose=1.000 | compile=1.000 | loss=-2.6998 | lr=6.43e-05 | kl=0.0000 | time=37.9s (gen=16.5s, reward=10.2s)
2026-03-22 03:12:36,821 - grpo_trainer - INFO - Step 46/200 | reward=3.488 | correct=0.250 | hack_strict=0.746 | hack_loose=1.000 | compile=1.000 | loss=1.1201 | lr=6.40e-05 | kl=0.0000 | time=33.9s (gen=13.0s, reward=10.3s)
2026-03-22 03:13:11,337 - grpo_trainer - INFO - Step 47/200 | reward=3.500 | correct=0.324 | hack_strict=0.676 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.37e-05 | kl=0.0000 | time=34.5s (gen=13.4s, reward=10.6s)
